letter,x_box,y_box,width,height,onpix,x_bar,y_bar,x2bar,y2bar,xybar,x2ybr,xy2br,x_ege,xegvy,y_ege,yegvx,letter_encoded
Y,2.0,3.0,2.0,1.0,1.0,5.0,10.0,2.0,7.0,10.0,9.0,4.0,1.0,11.0,2.0,5.0,24
M,3.0,4.0,5.0,3.0,3.0,8.0,5.0,3.0,3.0,9.0,6.0,8.0,7.0,5.0,1.0,8.0,12
I,5.0,15.0,5.0,8.0,3.0,10.0,6.0,2.0,5.0,11.0,4.0,6.0,2.0,9.0,5.0,12.0,8
R,2.0,2.0,3.0,3.0,2.0,6.0,7.0,4.0,5.0,7.0,6.0,7.0,5.0,7.0,3.0,8.0,17
U,4.0,8.0,6.0,6.0,4.0,5.0,9.0,5.0,6.0,7.0,9.0,9.0,3.0,9.0,1.0,8.0,20
D,6.0,12.0,5.0,7.0,4.0,7.0,6.0,4.0,6.0,9.0,5.0,6.0,5.0,9.0,7.0,6.0,3
Y,8.0,11.0,6.0,15.0,5.0,4.0,11.0,2.0,4.0,11.0,10.0,6.0,4.0,10.0,6.0,6.0,24
E,5.0,9.0,7.0,6.0,5.0,7.0,8.0,1.0,8.0,11.0,6.0,9.0,2.0,8.0,4.0,9.0,4
L,1.0,0.0,1.0,0.0,0.0,2.0,2.0,5.0,4.0,1.0,2.0,6.0,0.0,8.0,0.0,8.0,11
A,5.0,11.0,7.0,8.0,5.0,7.0,4.0,3.0,0.0,7.0,1.0,8.0,3.0,8.0,3.0,7.0,0
C,4.0,6.0,5.0,4.0,5.0,6.0,6.0,4.0,4.0,7.0,6.0,11.0,5.0,9.0,3.0,8.0,2
O,3.0,9.0,5.0,7.0,4.0,7.0,8.0,8.0,6.0,7.0,9.0,7.0,3.0,8.0,4.0,9.0,14
U,2.0,6.0,3.0,4.0,1.0,7.0,5.0,13.0,5.0,7.0,12.0,8.0,3.0,9.0,0.0,8.0,20
A,3.0,5.0,5.0,5.0,4.0,8.0,8.0,2.0,4.0,7.0,7.0,8.0,5.0,9.0,4.0,7.0,0
E,3.0,5.0,6.0,3.0,3.0,5.0,8.0,2.0,9.0,11.0,7.0,9.0,2.0,8.0,4.0,8.0,4
L,3.0,6.0,3.0,4.0,1.0,1.0,0.0,6.0,6.0,0.0,1.0,5.0,0.0,8.0,0.0,8.0,11
P,4.0,7.0,6.0,11.0,10.0,8.0,10.0,4.0,0.0,9.0,7.0,6.0,7.0,10.0,5.0,8.0,15
K,4.0,8.0,6.0,7.0,5.0,9.0,6.0,2.0,3.0,8.0,3.0,8.0,5.0,7.0,6.0,11.0,10
R,4.0,9.0,6.0,7.0,6.0,9.0,7.0,4.0,5.0,10.0,4.0,7.0,3.0,7.0,4.0,11.0,17
I,5.0,11.0,4.0,6.0,2.0,8.0,8.0,2.0,5.0,13.0,4.0,5.0,2.0,9.0,5.0,9.0,8
K,3.0,3.0,5.0,2.0,2.0,6.0,7.0,1.0,7.0,10.0,7.0,10.0,3.0,8.0,2.0,8.0,10
P,11.0,15.0,9.0,8.0,4.0,6.0,10.0,6.0,3.0,11.0,4.0,4.0,5.0,10.0,4.0,7.0,15
W,7.0,11.0,7.0,6.0,4.0,4.0,8.0,2.0,2.0,8.0,10.0,8.0,9.0,11.0,1.0,6.0,22
Y,5.0,9.0,5.0,5.0,3.0,6.0,7.0,4.0,5.0,9.0,7.0,5.0,3.0,10.0,5.0,4.0,24
C,5.0,9.0,4.0,4.0,3.0,7.0,10.0,3.0,4.0,9.0,7.0,9.0,3.0,8.0,6.0,10.0,2
K,5.0,10.0,8.0,7.0,5.0,6.0,7.0,3.0,8.0,7.0,6.0,8.0,4.0,8.0,5.0,8.0,10
P,4.0,11.0,5.0,8.0,4.0,5.0,11.0,4.0,6.0,11.0,9.0,4.0,0.0,10.0,4.0,7.0,15
R,4.0,8.0,5.0,6.0,5.0,8.0,8.0,6.0,5.0,8.0,6.0,7.0,3.0,7.0,5.0,9.0,17
M,3.0,7.0,4.0,5.0,3.0,8.0,6.0,11.0,1.0,6.0,9.0,8.0,7.0,6.0,0.0,8.0,12
F,1.0,0.0,1.0,0.0,0.0,3.0,11.0,4.0,3.0,11.0,9.0,7.0,0.0,8.0,2.0,8.0,5
J,3.0,9.0,4.0,7.0,1.0,11.0,2.0,11.0,3.0,13.0,8.0,14.0,1.0,6.0,0.0,8.0,9
F,4.0,8.0,4.0,6.0,3.0,1.0,12.0,4.0,4.0,12.0,10.0,7.0,0.0,8.0,2.0,6.0,5
K,5.0,8.0,7.0,7.0,6.0,8.0,5.0,2.0,4.0,8.0,4.0,8.0,4.0,8.0,7.0,11.0,10
U,3.0,3.0,4.0,5.0,2.0,8.0,4.0,14.0,5.0,7.0,12.0,8.0,3.0,9.0,0.0,8.0,20
J,1.0,3.0,2.0,2.0,1.0,10.0,6.0,2.0,5.0,12.0,4.0,9.0,0.0,7.0,1.0,7.0,9
R,5.0,11.0,6.0,8.0,7.0,5.0,9.0,8.0,3.0,7.0,5.0,8.0,2.0,7.0,5.0,11.0,17
Q,5.0,8.0,6.0,10.0,7.0,7.0,10.0,4.0,2.0,6.0,9.0,11.0,3.0,9.0,6.0,8.0,16
W,4.0,6.0,6.0,4.0,3.0,6.0,8.0,4.0,1.0,7.0,8.0,8.0,8.0,9.0,0.0,8.0,22
K,7.0,11.0,9.0,8.0,5.0,6.0,7.0,2.0,7.0,10.0,7.0,10.0,4.0,8.0,4.0,8.0,10
R,6.0,10.0,5.0,6.0,3.0,7.0,7.0,5.0,4.0,9.0,4.0,9.0,6.0,5.0,6.0,11.0,17
M,7.0,9.0,9.0,5.0,4.0,12.0,2.0,5.0,2.0,11.0,1.0,9.0,7.0,2.0,1.0,8.0,12
Q,7.0,14.0,7.0,8.0,5.0,12.0,4.0,4.0,6.0,12.0,3.0,9.0,4.0,8.0,7.0,12.0,16
J,5.0,10.0,3.0,14.0,4.0,10.0,7.0,2.0,4.0,10.0,5.0,6.0,3.0,8.0,6.0,10.0,9
X,4.0,9.0,7.0,7.0,5.0,7.0,7.0,3.0,9.0,5.0,6.0,10.0,3.0,8.0,6.0,8.0,23
G,3.0,5.0,4.0,4.0,2.0,6.0,7.0,6.0,6.0,10.0,7.0,10.0,2.0,9.0,4.0,10.0,6
N,3.0,7.0,5.0,5.0,3.0,5.0,9.0,6.0,4.0,7.0,7.0,9.0,5.0,9.0,1.0,7.0,13
M,2.0,1.0,3.0,3.0,3.0,8.0,6.0,6.0,4.0,7.0,7.0,8.0,6.0,5.0,2.0,8.0,12
Y,3.0,8.0,5.0,6.0,2.0,7.0,10.0,0.0,3.0,7.0,11.0,8.0,1.0,10.0,0.0,8.0,24
N,5.0,9.0,6.0,4.0,3.0,2.0,11.0,3.0,3.0,12.0,11.0,9.0,4.0,9.0,0.0,8.0,13
M,8.0,9.0,11.0,7.0,8.0,10.0,6.0,2.0,5.0,9.0,3.0,6.0,10.0,8.0,3.0,9.0,12
K,5.0,7.0,7.0,6.0,6.0,10.0,5.0,3.0,3.0,10.0,3.0,8.0,5.0,7.0,6.0,12.0,10
Y,4.0,10.0,6.0,8.0,6.0,9.0,3.0,7.0,5.0,7.0,8.0,8.0,3.0,10.0,5.0,4.0,24
X,7.0,13.0,8.0,7.0,5.0,9.0,6.0,3.0,8.0,11.0,3.0,7.0,4.0,8.0,4.0,8.0,23
F,4.0,9.0,6.0,6.0,4.0,6.0,10.0,1.0,6.0,13.0,7.0,6.0,1.0,10.0,2.0,8.0,5
Z,2.0,1.0,2.0,2.0,2.0,8.0,7.0,5.0,8.0,6.0,6.0,7.0,1.0,8.0,6.0,8.0,25
E,3.0,8.0,3.0,6.0,2.0,2.0,8.0,6.0,10.0,7.0,6.0,15.0,0.0,8.0,6.0,7.0,4
S,4.0,8.0,5.0,6.0,4.0,8.0,6.0,7.0,7.0,7.0,8.0,9.0,2.0,10.0,9.0,8.0,18
T,3.0,6.0,4.0,8.0,1.0,10.0,14.0,0.0,6.0,5.0,11.0,9.0,0.0,8.0,0.0,8.0,19
V,3.0,5.0,5.0,3.0,2.0,7.0,12.0,3.0,3.0,7.0,11.0,9.0,2.0,10.0,1.0,8.0,21
G,2.0,0.0,2.0,1.0,1.0,8.0,7.0,6.0,5.0,6.0,6.0,9.0,1.0,7.0,5.0,10.0,6
M,5.0,10.0,6.0,8.0,4.0,7.0,7.0,12.0,2.0,7.0,9.0,8.0,9.0,6.0,0.0,8.0,12
L,2.0,4.0,3.0,3.0,1.0,7.0,4.0,1.0,8.0,8.0,2.0,10.0,0.0,7.0,2.0,8.0,11
M,8.0,9.0,11.0,8.0,13.0,8.0,7.0,4.0,4.0,7.0,6.0,7.0,11.0,8.0,6.0,4.0,12
D,9.0,13.0,8.0,8.0,6.0,7.0,6.0,4.0,7.0,10.0,5.0,7.0,6.0,8.0,8.0,5.0,3
B,3.0,5.0,3.0,4.0,3.0,7.0,7.0,5.0,5.0,6.0,6.0,6.0,2.0,8.0,6.0,10.0,1
V,7.0,11.0,7.0,8.0,5.0,2.0,12.0,2.0,3.0,9.0,11.0,8.0,3.0,9.0,2.0,6.0,21
S,7.0,10.0,8.0,7.0,4.0,8.0,7.0,4.0,9.0,11.0,4.0,8.0,2.0,8.0,5.0,9.0,18
U,6.0,11.0,9.0,8.0,5.0,8.0,8.0,5.0,9.0,4.0,10.0,8.0,4.0,7.0,2.0,7.0,20
N,5.0,9.0,7.0,6.0,5.0,6.0,8.0,7.0,7.0,7.0,6.0,7.0,3.0,7.0,3.0,8.0,13
H,2.0,0.0,2.0,0.0,0.0,7.0,8.0,11.0,1.0,7.0,5.0,8.0,3.0,8.0,0.0,8.0,7
A,2.0,4.0,4.0,3.0,2.0,9.0,2.0,2.0,2.0,9.0,2.0,8.0,2.0,6.0,3.0,8.0,0
S,4.0,9.0,5.0,6.0,5.0,8.0,8.0,7.0,5.0,7.0,5.0,7.0,2.0,7.0,8.0,7.0,18
X,5.0,7.0,7.0,6.0,7.0,8.0,7.0,2.0,5.0,7.0,6.0,8.0,3.0,9.0,8.0,8.0,23
J,3.0,10.0,4.0,8.0,1.0,11.0,2.0,11.0,3.0,12.0,8.0,14.0,1.0,6.0,0.0,8.0,9
I,5.0,9.0,3.0,4.0,1.0,10.0,6.0,5.0,4.0,13.0,3.0,7.0,2.0,8.0,5.0,10.0,8
B,4.0,7.0,4.0,5.0,5.0,6.0,7.0,8.0,5.0,7.0,6.0,7.0,2.0,8.0,7.0,9.0,1
L,4.0,5.0,5.0,4.0,4.0,8.0,6.0,4.0,5.0,7.0,7.0,8.0,2.0,8.0,7.0,10.0,11
U,5.0,5.0,6.0,4.0,3.0,4.0,8.0,5.0,8.0,10.0,9.0,9.0,3.0,9.0,2.0,5.0,20
F,5.0,10.0,7.0,8.0,4.0,5.0,11.0,4.0,7.0,11.0,10.0,5.0,2.0,10.0,3.0,5.0,5
V,4.0,7.0,6.0,5.0,6.0,7.0,7.0,4.0,2.0,8.0,7.0,8.0,7.0,10.0,5.0,7.0,21
A,5.0,11.0,8.0,8.0,5.0,12.0,2.0,3.0,3.0,10.0,1.0,9.0,3.0,7.0,4.0,8.0,0
N,4.0,6.0,4.0,4.0,2.0,7.0,7.0,14.0,2.0,5.0,6.0,8.0,6.0,8.0,0.0,8.0,13
C,5.0,9.0,6.0,6.0,3.0,5.0,8.0,8.0,9.0,9.0,8.0,13.0,2.0,10.0,4.0,9.0,2
J,2.0,5.0,4.0,3.0,2.0,11.0,6.0,2.0,7.0,12.0,3.0,7.0,0.0,7.0,1.0,8.0,9
U,3.0,3.0,3.0,4.0,1.0,7.0,6.0,13.0,5.0,7.0,13.0,8.0,3.0,9.0,0.0,8.0,20
D,6.0,12.0,6.0,6.0,4.0,6.0,8.0,5.0,7.0,9.0,6.0,6.0,5.0,9.0,7.0,5.0,3
U,6.0,11.0,6.0,6.0,4.0,8.0,5.0,5.0,5.0,6.0,8.0,8.0,4.0,9.0,3.0,8.0,20
A,4.0,11.0,7.0,8.0,4.0,11.0,2.0,2.0,3.0,9.0,2.0,9.0,5.0,6.0,3.0,9.0,0
A,2.0,6.0,3.0,4.0,2.0,9.0,5.0,2.0,0.0,8.0,2.0,8.0,2.0,6.0,1.0,8.0,0
I,4.0,11.0,5.0,8.0,3.0,7.0,7.0,0.0,9.0,14.0,6.0,8.0,0.0,8.0,1.0,8.0,8
E,4.0,10.0,4.0,8.0,4.0,3.0,9.0,5.0,10.0,7.0,6.0,14.0,0.0,8.0,6.0,8.0,4
E,5.0,10.0,7.0,7.0,6.0,10.0,6.0,1.0,7.0,11.0,4.0,8.0,4.0,8.0,5.0,11.0,4
L,3.0,7.0,4.0,5.0,2.0,5.0,2.0,7.0,8.0,1.0,2.0,2.0,1.0,6.0,1.0,5.0,11
Y,2.0,8.0,4.0,5.0,1.0,9.0,10.0,2.0,3.0,6.0,12.0,8.0,1.0,11.0,0.0,8.0,24
M,4.0,4.0,5.0,3.0,3.0,6.0,6.0,6.0,5.0,7.0,7.0,10.0,7.0,6.0,2.0,8.0,12
K,3.0,7.0,5.0,5.0,6.0,6.0,8.0,4.0,4.0,6.0,5.0,9.0,5.0,7.0,7.0,7.0,10
K,4.0,7.0,5.0,5.0,4.0,7.0,6.0,1.0,6.0,10.0,5.0,10.0,3.0,8.0,4.0,9.0,10
U,5.0,8.0,6.0,6.0,3.0,3.0,9.0,6.0,7.0,12.0,11.0,9.0,3.0,9.0,1.0,7.0,20
J,1.0,3.0,2.0,2.0,1.0,10.0,7.0,1.0,5.0,11.0,4.0,8.0,0.0,7.0,0.0,7.0,9
F,2.0,6.0,3.0,4.0,2.0,1.0,10.0,3.0,5.0,11.0,11.0,9.0,0.0,8.0,2.0,7.0,5
X,3.0,4.0,4.0,3.0,2.0,7.0,7.0,3.0,9.0,6.0,6.0,9.0,2.0,8.0,6.0,8.0,23
J,4.0,10.0,4.0,8.0,3.0,15.0,3.0,3.0,5.0,12.0,0.0,7.0,0.0,8.0,0.0,8.0,9
P,6.0,12.0,5.0,7.0,4.0,6.0,11.0,5.0,2.0,11.0,6.0,3.0,3.0,12.0,5.0,5.0,15
F,6.0,9.0,9.0,7.0,8.0,7.0,7.0,5.0,4.0,7.0,6.0,8.0,5.0,11.0,9.0,11.0,5
A,6.0,10.0,7.0,7.0,7.0,8.0,8.0,6.0,5.0,6.0,5.0,8.0,5.0,7.0,7.0,5.0,0
D,4.0,5.0,5.0,8.0,3.0,5.0,7.0,10.0,8.0,7.0,6.0,5.0,3.0,8.0,4.0,8.0,3
Q,3.0,7.0,4.0,5.0,2.0,8.0,7.0,8.0,6.0,6.0,8.0,9.0,3.0,7.0,5.0,10.0,16
V,3.0,4.0,5.0,7.0,1.0,8.0,8.0,4.0,3.0,6.0,14.0,8.0,3.0,9.0,0.0,8.0,21
O,2.0,3.0,3.0,2.0,2.0,8.0,7.0,6.0,4.0,9.0,6.0,8.0,2.0,8.0,2.0,8.0,14
P,4.0,7.0,5.0,5.0,4.0,5.0,10.0,3.0,6.0,10.0,9.0,5.0,4.0,10.0,3.0,7.0,15
A,2.0,3.0,4.0,5.0,1.0,8.0,6.0,3.0,1.0,7.0,0.0,8.0,2.0,7.0,1.0,8.0,0
U,7.0,12.0,6.0,6.0,3.0,9.0,7.0,6.0,6.0,3.0,10.0,7.0,5.0,9.0,2.0,6.0,20
D,2.0,5.0,4.0,3.0,3.0,9.0,6.0,4.0,6.0,10.0,4.0,6.0,2.0,8.0,3.0,8.0,3
E,3.0,2.0,4.0,3.0,3.0,7.0,7.0,5.0,8.0,7.0,6.0,9.0,2.0,8.0,6.0,9.0,4
G,1.0,3.0,2.0,1.0,1.0,7.0,7.0,4.0,5.0,9.0,7.0,10.0,1.0,9.0,3.0,10.0,6
G,4.0,7.0,4.0,5.0,3.0,7.0,6.0,6.0,6.0,10.0,7.0,11.0,2.0,10.0,4.0,10.0,6
Z,3.0,9.0,4.0,7.0,2.0,7.0,7.0,4.0,14.0,9.0,6.0,8.0,0.0,8.0,8.0,8.0,25
W,5.0,5.0,8.0,7.0,4.0,7.0,7.0,5.0,2.0,7.0,8.0,8.0,9.0,9.0,0.0,8.0,22
Q,4.0,9.0,5.0,8.0,5.0,8.0,8.0,8.0,5.0,6.0,6.0,9.0,3.0,8.0,4.0,9.0,16
Y,4.0,10.0,6.0,8.0,4.0,5.0,9.0,0.0,7.0,8.0,12.0,9.0,1.0,11.0,2.0,7.0,24
U,3.0,6.0,4.0,4.0,1.0,8.0,4.0,13.0,5.0,7.0,13.0,8.0,3.0,9.0,0.0,8.0,20
N,4.0,5.0,6.0,4.0,3.0,7.0,9.0,2.0,5.0,10.0,6.0,6.0,5.0,9.0,1.0,7.0,13
Y,5.0,4.0,6.0,6.0,6.0,9.0,10.0,5.0,3.0,6.0,7.0,7.0,5.0,11.0,7.0,4.0,24
S,2.0,4.0,4.0,2.0,1.0,10.0,7.0,2.0,7.0,10.0,5.0,8.0,1.0,9.0,5.0,10.0,18
A,2.0,4.0,4.0,3.0,2.0,10.0,2.0,2.0,2.0,9.0,2.0,9.0,2.0,6.0,2.0,8.0,0
Y,5.0,10.0,5.0,7.0,2.0,3.0,11.0,4.0,6.0,12.0,12.0,6.0,1.0,11.0,2.0,6.0,24
M,5.0,10.0,7.0,8.0,10.0,8.0,8.0,7.0,4.0,7.0,6.0,8.0,8.0,9.0,9.0,4.0,12
G,1.0,0.0,2.0,1.0,1.0,8.0,6.0,6.0,5.0,6.0,5.0,9.0,1.0,8.0,5.0,10.0,6
A,5.0,11.0,8.0,8.0,5.0,9.0,3.0,2.0,3.0,8.0,1.0,8.0,2.0,7.0,3.0,7.0,0
U,5.0,9.0,6.0,8.0,7.0,7.0,7.0,4.0,4.0,6.0,6.0,8.0,5.0,7.0,2.0,7.0,20
I,1.0,3.0,1.0,2.0,0.0,7.0,7.0,1.0,7.0,13.0,6.0,8.0,0.0,8.0,0.0,8.0,8
X,2.0,3.0,4.0,1.0,1.0,6.0,8.0,2.0,8.0,11.0,8.0,8.0,2.0,8.0,3.0,7.0,23
D,4.0,8.0,5.0,6.0,3.0,9.0,7.0,4.0,7.0,11.0,4.0,5.0,3.0,8.0,3.0,8.0,3
D,2.0,3.0,3.0,2.0,2.0,7.0,7.0,6.0,6.0,7.0,6.0,6.0,2.0,8.0,3.0,7.0,3
A,5.0,9.0,6.0,7.0,4.0,9.0,4.0,3.0,1.0,8.0,1.0,9.0,2.0,7.0,3.0,8.0,0
F,4.0,8.0,4.0,5.0,1.0,1.0,11.0,5.0,7.0,11.0,11.0,9.0,0.0,8.0,2.0,6.0,5
D,5.0,8.0,6.0,6.0,5.0,8.0,8.0,5.0,6.0,10.0,5.0,4.0,4.0,9.0,4.0,9.0,3
V,3.0,9.0,5.0,7.0,2.0,8.0,8.0,4.0,3.0,6.0,14.0,8.0,3.0,10.0,0.0,8.0,21
D,9.0,14.0,8.0,8.0,6.0,9.0,5.0,4.0,6.0,10.0,4.0,7.0,6.0,8.0,9.0,7.0,3
A,7.0,11.0,6.0,6.0,3.0,11.0,2.0,3.0,1.0,9.0,4.0,11.0,4.0,4.0,4.0,9.0,0
U,6.0,10.0,7.0,8.0,4.0,3.0,9.0,5.0,7.0,11.0,10.0,9.0,3.0,9.0,2.0,6.0,20
Q,5.0,9.0,7.0,11.0,7.0,8.0,6.0,8.0,4.0,5.0,6.0,10.0,3.0,8.0,6.0,10.0,16
M,5.0,7.0,8.0,5.0,6.0,9.0,7.0,2.0,4.0,9.0,5.0,7.0,7.0,6.0,2.0,8.0,12
O,4.0,10.0,5.0,8.0,5.0,8.0,6.0,8.0,4.0,7.0,4.0,8.0,3.0,8.0,3.0,8.0,14
X,6.0,9.0,9.0,7.0,5.0,5.0,8.0,1.0,8.0,10.0,10.0,9.0,4.0,7.0,4.0,6.0,23
B,6.0,10.0,9.0,8.0,7.0,9.0,6.0,4.0,7.0,9.0,5.0,7.0,3.0,8.0,7.0,10.0,1
H,3.0,7.0,4.0,4.0,2.0,7.0,6.0,14.0,1.0,7.0,7.0,8.0,3.0,8.0,0.0,8.0,7
C,3.0,4.0,4.0,6.0,1.0,5.0,7.0,6.0,9.0,7.0,6.0,14.0,1.0,9.0,4.0,9.0,2
K,3.0,4.0,5.0,3.0,2.0,5.0,7.0,2.0,7.0,10.0,8.0,10.0,3.0,8.0,3.0,7.0,10
X,4.0,4.0,4.0,6.0,1.0,7.0,7.0,4.0,4.0,7.0,6.0,8.0,3.0,8.0,4.0,8.0,23
W,4.0,9.0,6.0,7.0,10.0,9.0,7.0,5.0,2.0,7.0,6.0,8.0,13.0,10.0,3.0,6.0,22
L,3.0,11.0,5.0,8.0,3.0,5.0,3.0,6.0,7.0,2.0,2.0,4.0,1.0,6.0,1.0,5.0,11
V,4.0,8.0,4.0,6.0,2.0,3.0,11.0,3.0,3.0,10.0,11.0,7.0,2.0,10.0,1.0,7.0,21
S,5.0,8.0,7.0,6.0,8.0,6.0,7.0,3.0,2.0,8.0,6.0,6.0,3.0,8.0,11.0,1.0,18
I,1.0,11.0,0.0,8.0,0.0,7.0,7.0,4.0,4.0,7.0,6.0,8.0,0.0,8.0,0.0,8.0,8
G,3.0,6.0,4.0,4.0,2.0,7.0,6.0,6.0,6.0,6.0,6.0,10.0,2.0,9.0,4.0,8.0,6
W,3.0,4.0,4.0,3.0,3.0,6.0,10.0,5.0,2.0,9.0,7.0,6.0,5.0,11.0,2.0,6.0,22
T,6.0,10.0,5.0,8.0,2.0,4.0,13.0,3.0,7.0,12.0,10.0,4.0,0.0,10.0,1.0,5.0,19
O,2.0,3.0,3.0,2.0,1.0,7.0,7.0,7.0,4.0,7.0,6.0,8.0,2.0,8.0,2.0,8.0,14
V,5.0,9.0,5.0,6.0,3.0,2.0,12.0,4.0,3.0,11.0,12.0,8.0,3.0,10.0,1.0,7.0,21
M,6.0,12.0,7.0,6.0,5.0,7.0,3.0,2.0,2.0,8.0,4.0,10.0,8.0,1.0,2.0,8.0,12
Z,4.0,6.0,6.0,8.0,4.0,13.0,4.0,3.0,7.0,10.0,2.0,7.0,2.0,7.0,5.0,12.0,25
P,4.0,10.0,5.0,7.0,3.0,5.0,10.0,10.0,4.0,9.0,6.0,5.0,2.0,10.0,4.0,8.0,15
A,3.0,8.0,5.0,6.0,2.0,7.0,6.0,3.0,1.0,7.0,0.0,8.0,2.0,7.0,1.0,8.0,0
S,7.0,10.0,9.0,8.0,11.0,8.0,8.0,5.0,3.0,9.0,5.0,7.0,5.0,8.0,12.0,8.0,18
P,5.0,9.0,7.0,6.0,6.0,5.0,10.0,5.0,5.0,10.0,8.0,3.0,1.0,10.0,3.0,7.0,15
E,3.0,8.0,3.0,6.0,2.0,3.0,7.0,6.0,10.0,7.0,6.0,14.0,0.0,8.0,7.0,8.0,4
P,5.0,10.0,6.0,7.0,5.0,5.0,11.0,5.0,5.0,11.0,9.0,3.0,1.0,10.0,4.0,7.0,15
O,1.0,0.0,1.0,0.0,0.0,8.0,7.0,6.0,4.0,7.0,6.0,8.0,2.0,8.0,2.0,8.0,14
J,1.0,4.0,2.0,3.0,1.0,9.0,6.0,2.0,6.0,12.0,4.0,9.0,1.0,7.0,1.0,7.0,9
M,3.0,4.0,6.0,3.0,3.0,7.0,6.0,3.0,4.0,9.0,8.0,9.0,7.0,5.0,2.0,9.0,12
M,6.0,10.0,8.0,8.0,9.0,8.0,7.0,7.0,5.0,6.0,5.0,8.0,10.0,8.0,10.0,12.0,12
G,4.0,8.0,6.0,6.0,4.0,7.0,7.0,7.0,6.0,6.0,6.0,9.0,2.0,8.0,4.0,8.0,6
T,2.0,1.0,2.0,1.0,0.0,8.0,15.0,2.0,4.0,6.0,10.0,8.0,0.0,8.0,0.0,8.0,19
E,3.0,7.0,3.0,5.0,2.0,3.0,7.0,6.0,10.0,7.0,6.0,14.0,0.0,8.0,7.0,8.0,4
U,3.0,6.0,4.0,4.0,1.0,7.0,5.0,13.0,5.0,7.0,13.0,8.0,3.0,9.0,0.0,8.0,20
J,3.0,7.0,4.0,5.0,2.0,8.0,6.0,2.0,6.0,14.0,5.0,9.0,0.0,7.0,0.0,7.0,9
W,5.0,7.0,7.0,6.0,9.0,6.0,8.0,6.0,5.0,6.0,6.0,8.0,8.0,9.0,8.0,8.0,22
S,3.0,4.0,4.0,6.0,2.0,8.0,7.0,6.0,9.0,4.0,6.0,7.0,0.0,8.0,9.0,8.0,18
M,9.0,12.0,12.0,7.0,5.0,10.0,2.0,3.0,2.0,10.0,2.0,9.0,8.0,1.0,1.0,8.0,12
Z,2.0,1.0,2.0,2.0,1.0,7.0,7.0,3.0,12.0,8.0,6.0,8.0,0.0,8.0,7.0,8.0,25
V,3.0,8.0,6.0,6.0,1.0,7.0,8.0,4.0,3.0,7.0,14.0,8.0,3.0,9.0,0.0,8.0,21
X,4.0,7.0,6.0,5.0,3.0,7.0,8.0,1.0,8.0,10.0,7.0,8.0,2.0,8.0,3.0,8.0,23
Y,3.0,6.0,5.0,9.0,8.0,9.0,7.0,4.0,1.0,6.0,7.0,9.0,4.0,11.0,7.0,8.0,24
Y,3.0,6.0,5.0,4.0,1.0,8.0,10.0,2.0,2.0,7.0,13.0,8.0,2.0,11.0,0.0,8.0,24
H,6.0,8.0,9.0,10.0,9.0,7.0,4.0,4.0,2.0,6.0,4.0,6.0,8.0,6.0,11.0,7.0,7
O,4.0,7.0,5.0,5.0,3.0,7.0,6.0,8.0,4.0,8.0,5.0,10.0,3.0,8.0,3.0,8.0,14
C,6.0,10.0,7.0,7.0,4.0,5.0,7.0,6.0,8.0,11.0,9.0,14.0,2.0,9.0,4.0,5.0,2
S,5.0,7.0,6.0,5.0,4.0,9.0,6.0,3.0,7.0,10.0,6.0,9.0,2.0,10.0,5.0,9.0,18
Q,4.0,10.0,4.0,5.0,3.0,10.0,6.0,4.0,7.0,11.0,3.0,9.0,3.0,6.0,7.0,11.0,16
V,4.0,6.0,4.0,4.0,2.0,3.0,12.0,5.0,4.0,11.0,12.0,7.0,3.0,10.0,1.0,8.0,21
K,8.0,15.0,8.0,8.0,4.0,7.0,6.0,3.0,6.0,9.0,9.0,10.0,6.0,12.0,3.0,7.0,10
G,6.0,11.0,7.0,8.0,6.0,6.0,7.0,7.0,5.0,8.0,7.0,11.0,5.0,7.0,6.0,6.0,6
N,6.0,9.0,8.0,7.0,5.0,7.0,9.0,6.0,5.0,7.0,6.0,6.0,7.0,8.0,3.0,8.0,13
C,3.0,4.0,4.0,3.0,2.0,4.0,8.0,4.0,7.0,10.0,10.0,13.0,1.0,9.0,2.0,7.0,2
Q,6.0,8.0,6.0,10.0,6.0,8.0,6.0,7.0,4.0,9.0,6.0,10.0,4.0,9.0,7.0,6.0,16
A,1.0,0.0,2.0,1.0,0.0,8.0,4.0,2.0,0.0,7.0,2.0,8.0,1.0,7.0,1.0,8.0,0
U,4.0,5.0,5.0,4.0,2.0,4.0,8.0,5.0,7.0,11.0,10.0,9.0,3.0,9.0,2.0,6.0,20
X,9.0,12.0,8.0,6.0,4.0,7.0,7.0,2.0,9.0,9.0,7.0,9.0,4.0,9.0,4.0,7.0,23
I,1.0,4.0,0.0,6.0,0.0,7.0,7.0,4.0,4.0,7.0,6.0,8.0,0.0,8.0,0.0,8.0,8
O,3.0,8.0,4.0,6.0,3.0,8.0,7.0,8.0,6.0,7.0,5.0,9.0,3.0,8.0,3.0,7.0,14
P,5.0,11.0,5.0,8.0,3.0,4.0,10.0,10.0,4.0,9.0,6.0,4.0,2.0,10.0,4.0,8.0,15
L,4.0,10.0,5.0,7.0,7.0,7.0,7.0,3.0,5.0,7.0,7.0,10.0,6.0,10.0,6.0,6.0,11
A,2.0,3.0,3.0,2.0,1.0,10.0,2.0,2.0,1.0,9.0,2.0,9.0,1.0,6.0,1.0,8.0,0
